,acquisition_date,acquisitions
0,1989-05-03,57
1,1997-03-11,56
2,1976-05-27,55
3,1987-08-29,55
4,2014-09-06,54
5,1997-10-09,54
6,1995-07-07,54
7,1991-07-31,53
8,1988-06-26,53
9,1974-12-15,53
10,2013-02-27,53
11,1991-10-10,53
12,2014-01-18,53
13,1997-05-26,53
14,1986-05-03,53
15,1992-07-03,53
16,1978-11-18,52
17,1972-09-16,52
18,2018-01-06,52
19,2015-07-14,52
20,2011-11-07,52
21,1981-03-31,52
22,2017-01-29,51
23,2000-02-09,51
24,1970-10-08,51
25,1999-07-08,51
26,2019-03-28,51
27,2000-06-12,51
28,1984-05-10,51
29,1976-12-22,51
30,2002-12-07,51
31,2000-07-25,51
32,1977-08-07,51
33,1992-01-10,51
34,2019-09-26,51
35,2010-05-21,51
36,1977-06-18,51
37,1970-12-31,51
38,1997-09-26,51
39,2018-07-01,50
40,2009-03-30,50
41,1997-12-12,50
42,1971-03-07,50
43,1993-08-24,50
44,1978-05-10,50
45,1997-05-03,50
46,1972-08-24,50
47,1997-02-07,50
48,1978-10-18,50
49,2004-01-24,50
50,2013-10-28,50
51,1995-02-21,50
52,2018-07-06,50
53,1982-09-06,50
54,2002-12-11,50
55,1983-03-20,50
56,2011-11-14,50
57,2000-09-21,50
58,1997-01-31,50
59,2009-03-20,50
60,1994-04-09,50
61,1985-03-16,50
62,2002-09-04,49
63,2006-07-08,49
64,1989-05-28,49
65,1970-01-19,49
66,1980-11-10,49
67,2006-01-29,49
68,2008-01-01,49
69,1991-01-09,49
70,2014-07-23,49
71,1989-07-12,49
72,1978-04-18,49
73,1977-05-26,49
74,1984-11-03,49
75,1991-02-07,49
76,2018-03-19,49
77,1979-12-06,49
78,2001-11-15,49
79,1979-07-19,49
80,1997-12-15,49
81,1999-05-11,49
82,2000-03-10,49
83,1996-07-16,49
84,2007-04-14,49
85,1997-07-15,49
86,2018-01-22,49
87,2007-09-14,49
88,1998-08-29,49
89,1999-09-24,49
90,1985-03-31,49
91,1989-11-05,49
92,1973-10-23,49
93,2017-08-29,48
94,2012-07-11,48
95,1995-10-05,48
96,1993-11-07,48
97,1993-10-21,48
98,1992-08-12,48
99,2004-12-26,48
100,1977-06-15,48
101,2006-09-26,48
102,1982-03-11,48
103,2014-06-10,48
104,2018-06-27,48
105,2009-11-05,48
106,1993-01-16,48
107,1999-05-23,48
108,1984-07-16,48
109,2012-04-21,48
110,1999-07-21,48
111,1973-04-04,48
112,1992-05-11,48
113,2013-12-12,48
114,1980-10-26,48
115,1984-06-19,48
116,2012-07-03,48
117,2002-07-12,48
118,1993-12-18,48
119,1997-04-10,48
120,1991-10-30,48
121,1970-03-28,48
122,2011-01-04,48
123,2002-04-30,48
124,1973-02-20,48
125,2006-07-22,48
126,1995-11-04,48
127,2007-07-30,48
128,2015-03-06,48
129,2002-12-25,48
130,1995-07-25,48
131,1997-12-08,48
132,2018-01-08,48
133,1970-06-09,48
134,1983-07-30,48
135,2020-05-05,48
136,2012-09-12,48
137,1983-12-29,48
138,2015-09-11,48
139,1977-04-21,48
140,2001-07-27,48
141,2011-02-01,48
142,2010-05-13,48
143,1974-07-29,48
144,1984-01-15,48
145,2005-10-13,48
146,1984-06-20,48
147,1970-07-16,48
148,1994-04-13,48
149,2016-01-11,47
150,2010-09-15,47
151,2011-11-21,47
152,2015-09-26,47
153,1976-06-23,47
154,1989-12-05,47
155,1978-11-01,47
156,2016-02-10,47
157,1993-07-02,47
158,2002-10-11,47
159,1971-02-09,47
160,2018-01-02,47
161,1974-10-24,47
162,1982-10-04,47
163,2018-06-23,47
164,1987-07-19,47
165,1991-07-08,47
166,1970-12-24,47
167,1972-04-10,47
168,1983-03-25,47
169,2020-06-24,47
170,1991-11-11,47
171,2016-09-29,47
172,1981-06-01,47
173,1975-01-08,47
174,1972-11-24,47
175,1970-03-25,47
176,2015-07-15,47
177,2006-08-14,47
178,1974-09-02,47
179,2003-01-30,47
180,2015-06-14,47
181,2012-08-29,47
182,1970-11-15,47
183,1995-07-17,47
184,2012-08-28,47
185,1980-08-19,47
186,2008-02-06,47
187,2014-11-23,47
188,1977-05-02,47
189,2007-08-15,47
190,1999-02-07,47
191,2007-12-15,47
192,1971-03-23,47
193,1989-06-29,47
194,1971-01-21,47
195,1985-12-25,47
196,1987-12-04,47
197,1979-06-05,47
198,1984-07-11,47
199,2006-11-05,47
200,2015-07-18,47
201,2009-03-09,47
202,2014-12-10,47
203,2017-06-27,47
204,2005-04-21,47
205,2007-04-19,47
206,1994-01-13,47
207,2013-01-21,47
208,1998-10-16,47
209,1998-12-28,47
210,2016-07-26,47
211,2015-09-20,47
212,1991-07-11,47
213,1979-01-10,47
214,1982-12-08,47
215,1996-08-30,47
216,2019-08-10,47
217,1976-01-20,47
218,2020-06-02,47
219,1972-09-17,47
220,1981-04-09,47
221,1989-03-05,47
222,1973-01-26,47
223,1990-11-25,47
224,2006-02-04,47
225,1992-04-10,46
226,1983-07-18,46
227,1984-10-08,46
228,1982-09-24,46
229,2018-12-24,46
230,1970-10-09,46
231,1991-08-08,46
232,2007-08-23,46
233,1987-07-10,46
234,2001-07-26,46
235,1981-07-06,46
236,1996-10-19,46
237,1972-10-03,46
238,1994-08-24,46
239,2006-07-10,46
240,2012-04-28,46
241,2014-02-18,46
242,1988-05-20,46
243,2013-04-08,46
244,1977-05-15,46
245,2020-01-27,46
246,1975-06-15,46
247,1985-09-20,46
248,1972-08-14,46
249,2017-02-22,46
250,2011-03-08,46
251,1987-07-05,46
252,2013-12-07,46
253,1993-04-18,46
254,1971-05-18,46
255,1974-03-22,46
256,1986-05-18,46
257,1982-07-07,46
258,2000-03-09,46
259,1973-07-18,46
260,2009-02-12,46
261,2008-07-22,46
262,1979-10-01,46
263,1979-02-23,46
264,1982-03-09,46
265,1998-05-03,46
266,1976-04-20,46
267,1971-11-23,46
268,1983-10-15,46
269,1994-09-04,46
270,1976-12-13,46
271,2018-02-21,46
272,1970-09-26,46
273,1983-11-09,46
274,2001-07-30,46
275,1992-07-15,46
276,2009-11-03,46
277,1984-03-18,46
278,1972-01-19,46
279,1970-02-12,46
280,2019-03-15,46
281,1974-03-18,46
282,2018-07-23,46
283,1993-07-06,46
284,1980-04-28,46
285,2006-05-10,46
286,1974-10-21,46
287,1979-02-15,46
288,1983-09-04,46
289,2018-09-06,46
290,2005-07-03,46
291,1973-06-17,46
292,1985-04-24,46
293,1994-01-23,46
294,2006-10-06,46
295,1995-01-23,46
296,2004-06-20,46
297,1977-08-24,46
298,1974-02-06,46
